latitude,longitude,services,number,name
1.403706299,103.9022434,"3,34,43,50,62,82,83,84,85,117,118,119,136,381,382,386,34A,43M,43e,62A,382A,382G,382W,386A",65009,Punggol Temp Int
1.381596968,103.8972095,"80,82,87,88,89,119,NR6",65011,Opp The Rivervale
1.381514078,103.8974924,"80,82,87,88,89,119,80A,88A",65019,The Rivervale
1.384031362,103.8996135,"80,82,88,163,6N",65021,Opp Blk 110
1.384615,103.9006158,"80,82,88,163,80A,88A,163A",65029,Blk 111
1.387111444,103.9016776,"82,88,163,372,6N",65031,Blk 227D
1.38732059,103.9018557,"82,88,163,88A,163A",65039,Blk 124
1.389844124,103.9016227,"82,88,163,372,6N",65041,Blk 231
1.389935,103.9018717,"82,88,163,88A,163A",65049,Blk 126A
1.393084408,103.9012936,"82,88,136,161,88A",65059,St. Anne's Ch
1.39494412,103.9019166,"27,82,83,86,88,89,136,161,965,27A,89e,6N",65061,Blk 298A
1.395043822,103.9023682,"27,82,83,86,88,89,136,161,965,88A,89e",65069,Blk 190C
1.398450741,103.9041638,"3,34,82,83,136,6N",65071,Opp Blk 103A
1.398935745,103.904748,"3,34,82,83,136,34A",65079,Blk 102C
1.400921588,103.9053104,34,65081,Opp Blk 199C
1.401339484,103.9058051,"34,34A",65089,Opp Blk 296
1.403979627,103.9065564,84,65091,BLK 301A
1.404467817,103.9071143,84,65099,BLK 604A
1.416705762,103.9094801,84,65121,Opp Track 22
1.416369949,103.9096651,84,65129,Aft Track 22
1.420625393,103.9105347,84,65139,Punggol Rd End
1.404548056,103.8971639,"43,117,118,381,43M,43e",65141,Soo Teck Stn
1.404440466,103.8969248,"43,117,118,381,43M,43e",65149,Soo Teck Stn
1.398856503,103.9066211,"3,62,83,136,62A,6N",65151,Cove Stn Exit B
1.398568723,103.9066529,"3,62,83,136",65159,Cove Stn Exit A
1.397280169,103.9086815,"3,62,83,381,62A,6N",65161,Meridian Stn Exit B
1.396495331,103.9092356,"3,62,83,381",65169,Meridian Stn Exit A
1.394520417,103.912053,"3,62,83,381,386,62A,6N",65171,Coral Edge Stn Exit B
1.394295828,103.9119024,"3,62,83,381",65179,Coral Edge Stn Exit A
1.396813889,103.9175469,"50,381",65181,Atf Punggol Ctrl
1.396826944,103.9179331,"50,381",65189,Bef Punggol Ctrl
1.395273569,103.9054,"3,27,34,39,88,89,109,110,118,168,858,969,89e,118B,969A",65191,Bef Punggol Rd
1.395917212,103.9054274,"3,27,34,39,88,89,109,110,118,168,858,969,27A,34A,89e,118A",65199,Aft Punggol Rd
1.4008806,103.9035672,"62,82,62A,6N",65201,Opp Blk 201A
1.40039133,103.9039358,"62,82",65209,Aft Punggol Rd
1.403266638,103.9032588,6N,65219,Aft Punggol Ctrl
1.404028428,103.9048076,"3,34,83,84,85,136,381,386,34A,386A",65221,BLK 303D
1.403202195,103.9055693,"3,34,83,84,85,136,381,386,6N",65229,Blk 298
1.39428248,103.9157653,"3,50,83,85,381,386,6N",65231,Riviera Stn Exit B
1.394104614,103.9160348,"3,50,83,85,381",65239,Riviera Stn Exit A
1.399172465,103.9076717,"136,381",65241,Blk 196C
1.399637478,103.9082498,"136,381",65249,Blk 178
1.40502619,103.9029962,381,65251,Punggol Stn
1.405351944,103.9018719,"43,117,118,381,43M,43e",65259,Punggol Stn/Int
1.396951554,103.9147884,"3,83,85",65261,Blk 649
1.396710154,103.9146722,"3,83,85,386,6N",65269,Blk 162B
1.399955441,103.9106429,"3,83,85",65271,Opp Blk 188
1.399297261,103.911034,"3,83,85,6N",65279,Bet Blks 187/188
1.402011651,103.9078331,"3,83,85,136,381,386,386A",65281,Punggol Sec/Blk 601B
1.401737461,103.9076298,"3,83,85,136,381,386,6N",65289,Opp Punggol Sec/Blk 195E
1.404378889,103.9096331,50,65301,Damai Stn Exit B
1.404943889,103.909135,50,65309,Damai Stn Exit A
1.402015,103.9128569,"50,386",65311,Oasis Stn Exit B/Blk 617D
1.402578056,103.912445,"50,386,386A",65319,Oasis Stn Exit A
1.399427,103.916593,50,65321,Kadaloor Stn Exit B
1.399888,103.916124,50,65329,Kadaloor Stn Exit A
1.402865,103.898518,"119,381,382,382A,382G",65331,Opp Blk 268D
1.403133066,103.8980439,"119,381,382,382W",65339,Blk 268C
1.40194695,103.900923,"119,381,382,382A,382G",65341,Opp Blk 272C
1.402220886,103.9007796,"119,381,382,382W",65349,Blk 272C
1.405894041,103.9047262,"50,382,382G",65351,Punggol View Pr Sch
1.405523,103.904353,"50,382,382W",65359,Opp Punggol View Pr Sch
1.402886703,103.9162676,"386,386A",65371,Blk 682A
1.402807759,103.9163376,386,65379,Blk 661A
1.402068,103.909767,"386,386A",65381,Punggol Sec Sch
1.402257,103.910072,386,65389,Opp Punggol Sec Sch
1.40587968,103.9125169,"386,386A",65391,Blk 672A
1.405804727,103.9125955,386,65399,Blk 670A
1.406531821,103.8987118,"43,117,118,381,43M,43e",65401,Opp Blk 264A
1.406244969,103.8995745,"43,117,118,381,43M,43e",65409,Bef Blk 264
1.399447814,103.9138491,386,65411,Horizon Pr Sch
1.399462091,103.9139538,386,65419,Opp Horizon Pr Sch
1.3967443,103.9120865,386,65429,Greendale Pr Sch
1.402389381,103.8967356,"43,117,118,119,43M,43e",65431,Twin Waterfalls
1.401725291,103.8963181,"43,117,118,119,43M,43e",65439,Aft TPE
1.408177692,103.8957926,"382,382G",65441,Opp Blk 315B
1.408040814,103.8959312,"382,382W",65449,Blk 315B
1.41069,103.8975919,"382,382G",65451,Blk 322 CP
1.410609531,103.8977217,"382,382W",65459,Opp Blk 322 CP
1.409858889,103.9012999,"84,382,382G",65461,Blk 312 CP
1.409823056,103.9009779,"84,382,382W",65469,Blk 310B
1.408865238,103.9060396,"84,382,382G",65481,Bef Punggol Dr
1.408195,103.905669,"84,382,382W",65489,Aft Punggol Dr
1.404563202,103.8949605,"382,382G",65491,Opp Blk 259 CP
1.404551428,103.8949706,"382,382W",65499,Blk 259 CP
1.390317667,103.9129427,"50,62,85",65521,Waterwoods
1.391527559,103.9140534,"50,62,85,62A",65529,Aft Punggol Field
1.4024,103.8936,"382,382A,382G",65531,Blk 226A
1.402291,103.8937,"382,382W",65539,Blk 224A
1.403563134,103.8912229,"382,382A,382G",65541,Before Sumang Lane
1.403534833,103.8911173,"382,382W",65549,After Sumang Lane
1.40374,103.8933695,"382,382A,382G",65551,Blk 227A
1.4040841,103.8924934,"382,382W",65559,Opposite Blk 227A
1.398808889,103.919085,381,65561,WATERWAY PR SCH
1.398633889,103.9191989,381,65569,OPP WATERWAY PR SCH
1.403478611,103.895535,"382,382A",65571,BLK 218
1.403556111,103.8960314,382,65579,BLK 258A
1.411380592,103.9003026,84,65611,Nibong Stn Exit B
1.411537636,103.9000027,84,65619,Nibong Stn Exit A
1.416083732,103.9024832,84,65621,Samudera Stn Exit B
1.416459687,103.9025213,84,65629,Samudera Stn Exit A
1.417306268,103.9054176,84,65631,Aft Punggol Pt Stn
1.417552379,103.9053085,84,65639,Bef Punggol Pt Stn
